trial_num,image_id,library,urge,val,aros,onset_time,rt_urge,rt_val,rt_arousal
1,22.png,Gemini3_alcohol_12.25resize,61.71875,39.375,45.3125,77488.4843868,5.99206079999567,5.99206079999567,5.99206079999567
2,75.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,77496.3230284,NaN,NaN,NaN
3,154.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,73.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,195.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,N021.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,00653.png,WFAIS_alcohol_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,N001.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,00967.png,WFAIS_alcohol_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,45.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,101.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,9.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,00047.png,WFAIS_alcohol_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,170.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,24.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,00242.png,WFAIS_alcohol_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,56.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,N071.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,00821.png,WFAIS_alcohol_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,N064.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,N024.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,N077.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,165.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,SDC11503.jpg,ABPS_alcohol,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,82.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,106.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,152.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
