trial_num,image_id,library,urge,val,aros,onset_time,rt_urge,rt_val,rt_arousal
62,97.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,52.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64,N075.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,N039.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,84.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67,N078.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68,SDC11574.jpg,ABPS_alcohol,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,18.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,N042.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,61.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,N002.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,3.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74,7.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,N066.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,N022.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77,N030.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,130.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,4.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,144.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,59.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,138.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,23.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,139.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,135.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86,149.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87,191.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88,158.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89,115.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,6.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91,94.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92,N070.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93,N046.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94,00047.png,WFAIS_alcohol_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,183.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96,182.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97,16.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98,N003.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99,SDC11578.jpg,ABPS_alcohol,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,44.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101,N033.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102,12.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103,193.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104,9.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105,96.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106,112.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
107,148.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108,69.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109,31.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110,N025.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
111,89.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
112,123.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
113,134.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
114,129.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
115,N014.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
116,82.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
117,159.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
118,113.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
119,11.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120,75.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
121,197.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
122,8.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
123,N047.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
124,N062.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
125,N076.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
126,N077.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127,74.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128,27.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,SDC11585.jpg,ABPS_alcohol,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130,14.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131,SDC11583.jpg,ABPS_alcohol,NaN,NaN,NaN,NaN,NaN,NaN,NaN
132,N013.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
133,34.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
134,SDC11562.jpg,ABPS_alcohol,NaN,NaN,NaN,NaN,NaN,NaN,NaN
135,121.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
136,N071.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
137,78.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
138,56.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
139,N034.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
140,108.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
141,200.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
142,SDC11509.jpg,ABPS_alcohol,NaN,NaN,NaN,NaN,NaN,NaN,NaN
143,28.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
144,N032.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
145,SDC11507.jpg,ABPS_alcohol,NaN,NaN,NaN,NaN,NaN,NaN,NaN
146,154.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
147,N008.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
148,N079.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
149,5.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150,196.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
151,N024.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
152,93.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
153,166.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
154,156.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
155,161.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
156,122.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
157,180.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
158,N036.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
159,53.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
160,141.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
161,199.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
162,63.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
163,101.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
164,103.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
