trial_num,image_id,library,urge,val,aros,onset_time,rt_urge,rt_val,rt_arousal
1,00468.png,WFAIS_alcohol_resized,67.03125,41.25,63.90625,191.3802291,7.8999743,7.8999743,7.8999743
2,139.png,Gemini3_alcohol_12.25resize,66.5625,37.65625,36.5625,201.0060322,19.6858682,19.6858682,19.6858682
3,61.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,222.4133326,NaN,NaN,NaN
4,91.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,192.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,10.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,67.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,184.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,12.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,47.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,108.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,N045.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,154.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,N061.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,27.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,159.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,58.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,00358.png,WFAIS_alcohol_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,44.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,17.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,N066.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,70.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,186.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,N047.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,129.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,36.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,149.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,25.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,194.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,178.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,138.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,SDC11585.jpg,ABPS_alcohol,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,N023.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,11.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,16.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,N062.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,150.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
